precinctid,writein_bernard_bernie_sanders__tu,gary_johnson__bill_weld,writein_jerry_white__niles_niemuth,jill_stein__ajamu_baraka,writein_evan_mcmullin__nathan_johnso,hillary_clinton__tim_kaine,writein_laurence_kotlikoff__edward_l,writein,precincts,under_vote,ballots_cast,gloria_estela_la_riva__dennis_j_bank,over_vote,registration,writein_mike_maturen__juan_munoz,donald_j_trump__michael_r_pence
9518,9,11,0,12,1,631,0,5,1,6,707,0,0,826,0,32
9519,4,16,0,20,0,697,0,4,1,7,790,0,0,922,0,42
9521,8,11,0,28,1,734,0,5,1,7,827,3,0,947,1,29
9701,3,11,0,16,0,476,0,1,1,5,571,1,1,664,0,57
9702,1,10,0,13,1,546,0,3,1,11,640,9,0,760,0,46
9703,5,16,0,18,4,617,0,5,1,14,818,2,1,989,0,136
9704,2,22,0,17,1,706,0,3,1,9,836,3,0,971,0,73
9705,4,17,0,21,1,710,0,7,1,5,836,1,1,954,0,69
9706,0,2,0,3,0,48,0,0,1,1,54,0,0,54,0,0
9707,0,17,0,11,0,513,0,7,1,12,679,2,0,805,0,117
9708,4,20,0,17,3,707,0,6,1,9,829,0,0,956,0,63
9709,6,20,0,22,2,645,0,7,1,26,848,4,4,1029,0,112
9711,2,17,0,18,0,448,0,4,1,10,572,1,0,643,0,72
9712,3,10,0,14,0,475,0,7,1,11,593,3,1,656,0,69
9713,3,18,0,20,1,585,0,7,1,19,782,2,0,974,0,127
9714,5,27,0,13,0,621,0,10,1,10,825,0,0,941,0,139
9715,1,9,0,6,0,414,0,3,1,11,521,0,0,580,0,77
9716,3,13,0,34,2,601,0,9,1,17,791,2,1,975,0,109
9717,4,22,0,23,3,636,0,4,1,17,837,2,1,993,0,125
9718,3,25,0,17,2,572,0,7,1,14,755,4,0,859,0,111
9719,3,31,0,12,1,584,0,9,1,9,755,6,0,880,0,100
9721,4,14,0,5,1,459,0,5,1,8,575,0,1,657,0,78
9722,6,9,0,11,0,401,0,3,1,9,543,0,2,634,0,102
9723,2,12,0,6,0,263,0,7,1,10,396,0,0,478,0,96
9724,1,17,0,14,0,578,0,8,1,20,824,4,2,978,0,180
9725,0,21,0,12,0,561,0,5,1,19,783,3,0,985,0,162
9726,1,10,0,22,1,463,0,2,1,7,606,4,2,782,0,94
9727,1,7,0,3,0,267,0,4,1,10,396,1,1,454,0,102
9728,5,22,0,10,4,541,0,5,1,19,805,2,0,937,0,197
9729,2,24,0,11,2,515,0,5,1,17,708,2,0,802,0,130
9731,4,10,0,4,4,361,0,9,1,6,485,1,0,548,0,86
9732,0,4,0,0,0,59,0,0,1,0,71,0,1,76,0,7
9733,0,2,0,1,0,178,0,1,1,1,204,0,0,221,0,21
9734,3,14,0,5,1,394,0,6,1,9,535,1,0,603,0,102
9735,3,21,0,11,3,526,0,15,1,10,699,1,1,807,0,108
9736,4,15,0,23,1,521,0,3,1,4,651,1,0,729,0,79
9737,6,14,0,9,0,596,0,5,1,11,715,0,0,782,0,74
9738,6,19,0,23,1,482,0,8,1,15,680,3,1,850,0,122
9739,3,9,0,32,0,541,0,1,1,14,681,4,1,912,0,76
9741,3,11,0,12,0,610,0,2,1,2,679,2,0,1064,0,37
9742,0,11,0,4,0,391,0,6,1,16,530,0,0,669,0,102
9743,6,21,0,36,0,734,0,6,1,6,907,3,1,1159,0,94
9744,6,11,0,28,0,572,0,9,1,12,763,5,0,968,0,120
9745,6,23,0,35,0,565,0,11,1,5,762,8,2,1052,0,107
9746,3,9,0,17,0,574,0,5,1,13,783,2,0,903,0,160
9747,5,9,0,16,1,629,0,7,1,15,797,2,1,989,0,112
9748,5,28,0,21,0,608,0,4,1,21,809,2,0,981,0,120
9749,4,13,0,25,1,552,0,4,1,8,686,6,2,969,0,71
9751,4,26,0,22,1,687,0,12,1,18,908,4,0,1011,0,134
9752,3,11,0,12,2,505,0,2,1,4,626,1,0,721,0,86
9753,2,12,0,11,0,524,0,6,1,9,636,3,4,777,0,65
9754,3,14,0,10,0,544,0,2,1,10,648,4,0,744,0,61
9755,4,16,0,15,0,390,0,2,1,9,492,4,0,605,0,52
9756,4,28,0,10,0,612,0,2,1,14,784,3,1,980,0,110
9801,3,10,0,5,1,255,0,4,1,6,339,5,0,434,0,50
9900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9901,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9902,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
