precinctid,writein_bernard_bernie_sanders__tu,gary_johnson__bill_weld,writein_jerry_white__niles_niemuth,jill_stein__ajamu_baraka,writein_evan_mcmullin__nathan_johnso,hillary_clinton__tim_kaine,writein_laurence_kotlikoff__edward_l,writein,precincts,under_vote,ballots_cast,gloria_estela_la_riva__dennis_j_bank,over_vote,registration,writein_mike_maturen__juan_munoz,donald_j_trump__michael_r_pence
7614,8,19,0,27,0,656,0,4,1,12,793,5,6,1177,0,56
7615,4,7,1,20,0,398,0,5,1,6,528,10,3,1020,0,74
7616,4,32,0,17,1,690,0,11,1,7,807,3,0,981,0,42
7617,3,9,0,11,1,410,0,4,1,7,516,3,9,898,0,59
7618,5,8,0,20,0,595,0,2,1,7,689,5,1,948,0,46
7619,15,37,0,34,0,1259,0,6,1,14,1485,4,2,1971,0,114
7621,3,13,0,25,2,670,0,8,1,9,800,2,2,1082,0,66
7622,1,11,0,14,0,443,0,3,1,4,534,0,3,1007,0,55
7623,2,9,0,11,0,392,0,3,1,10,467,2,0,839,0,38
7624,3,10,0,21,0,463,0,4,1,9,565,2,3,1074,0,50
7625,0,11,0,6,0,479,0,7,1,25,617,5,6,896,0,78
7626,4,34,0,13,4,857,0,4,1,4,1011,3,1,1177,0,87
7627,6,52,0,21,1,1102,0,13,1,11,1326,1,0,1586,0,119
7628,1,15,0,20,0,624,1,5,1,10,720,3,1,1006,0,40
7629,7,18,0,17,0,500,0,5,1,3,577,4,0,837,0,23
7631,8,25,0,16,1,790,1,8,1,9,915,3,1,1143,0,53
7632,4,13,0,13,1,459,0,1,1,5,532,5,2,727,0,29
7633,8,10,0,15,1,478,0,1,1,16,574,1,2,731,0,42
7634,2,18,0,14,0,578,0,5,1,10,706,9,1,1017,0,69
7635,6,10,0,15,1,546,0,6,1,15,643,1,3,868,0,40
7636,5,24,0,14,1,684,0,7,1,7,784,1,2,993,0,39
7637,9,45,0,25,0,966,0,5,1,11,1151,2,2,1361,0,86
7638,2,35,0,15,0,923,0,8,1,16,1135,0,0,1285,0,136
7639,4,34,0,11,2,753,0,4,1,9,891,3,0,1011,0,71
7641,1,23,0,18,1,655,0,6,1,13,795,2,0,977,0,76
7642,3,18,0,13,2,660,1,15,1,8,810,1,2,967,0,87
7643,2,17,0,14,2,638,0,2,1,11,758,5,2,959,0,65
7644,3,23,0,8,2,825,0,12,1,4,925,0,3,1111,0,45
7645,2,19,0,7,0,479,0,6,1,17,587,2,0,669,0,55
7646,4,61,0,23,2,1680,0,18,1,14,1893,4,0,2163,0,87
7647,11,16,0,27,0,486,0,4,1,7,598,8,1,1028,0,38
7648,0,0,0,0,0,3,0,0,1,0,3,0,0,4,0,0
7701,2,32,0,24,1,776,0,5,1,11,914,0,1,1049,0,62
7702,5,22,0,12,1,512,0,2,1,11,663,2,1,775,0,95
7703,0,0,0,2,0,85,0,0,1,0,100,1,3,178,0,9
7704,6,24,0,21,2,696,0,5,1,11,881,4,0,1006,0,112
7705,0,17,0,13,0,390,0,2,1,10,495,1,0,554,0,62
7706,2,24,0,16,2,628,0,7,1,6,773,1,0,853,0,87
7707,1,12,0,11,2,655,0,4,1,11,784,3,1,854,0,84
7708,2,13,0,14,0,676,0,6,1,6,783,2,0,894,0,64
7709,2,7,0,7,0,303,0,0,1,1,354,0,1,390,0,33
7711,8,15,0,21,0,572,0,5,1,11,685,4,1,789,0,48
7712,1,5,0,17,4,445,0,3,1,7,518,0,1,577,0,35
7801,6,15,0,15,1,876,0,7,1,3,964,1,0,975,0,40
7802,0,6,0,16,1,665,0,4,1,8,723,0,0,760,0,23
7803,3,8,0,14,1,703,0,3,1,8,774,0,0,827,0,34
7804,4,14,0,8,0,819,0,2,1,2,876,3,0,932,0,24
7805,1,16,0,16,0,706,0,3,1,4,761,3,0,852,0,12
7806,6,12,0,23,0,597,0,3,1,1,663,3,1,746,1,16
7807,1,10,0,28,1,613,0,2,1,4,671,2,2,774,0,8
7808,3,7,0,7,0,544,0,1,1,6,578,0,0,702,0,10
7809,4,18,0,22,0,1002,0,3,1,6,1091,3,1,1234,0,32
7811,6,10,0,16,0,636,0,4,1,5,696,0,1,806,0,18
7812,1,8,0,20,2,663,0,4,1,8,752,4,1,892,0,41
7813,3,9,0,25,3,868,0,4,1,4,943,2,0,1061,0,25
7814,5,9,0,31,0,567,0,4,1,3,667,5,5,919,0,38
7815,3,9,0,27,1,806,0,4,1,7,879,3,0,967,0,19
7816,0,9,0,18,0,771,0,0,1,4,823,1,0,896,0,20
7817,0,7,0,21,1,658,0,4,1,1,711,2,0,804,0,17
7818,2,8,0,20,0,730,0,2,1,5,787,3,0,889,0,17
7819,2,12,0,15,0,608,0,3,1,5,682,4,5,809,1,27
7821,4,16,0,22,0,838,0,3,1,5,916,0,0,998,0,28
7822,3,6,1,14,0,705,0,2,1,1,776,3,0,951,0,41
7823,2,5,0,15,1,760,0,3,1,3,806,0,0,928,0,17
7824,2,10,0,13,0,608,0,4,1,4,665,1,1,794,0,22
7825,2,2,0,10,0,486,0,1,1,2,521,0,0,578,0,18
7826,3,8,0,18,0,573,0,6,1,5,633,3,0,709,1,16
7827,1,8,0,33,0,666,0,2,1,5,758,2,2,931,0,39
7828,5,22,0,11,1,825,0,2,1,11,924,3,0,1053,0,44
7829,0,17,0,17,0,760,0,7,1,1,841,2,0,904,0,37
7831,2,5,0,17,0,761,0,1,1,3,803,0,0,906,0,14
7832,2,16,0,20,1,688,0,4,1,5,759,2,0,824,0,21
7833,6,9,0,10,1,650,0,3,1,10,710,2,1,785,0,18
7834,2,9,0,27,0,704,0,1,1,4,775,3,2,901,0,23
7835,8,9,0,18,1,681,0,4,1,6,785,2,0,863,0,56
7836,6,16,0,15,1,793,0,4,1,6,903,2,1,990,0,59
7837,5,7,0,16,1,768,0,4,1,7,840,2,0,934,0,30
7838,1,12,0,20,0,760,0,2,1,6,839,4,0,933,0,34
7839,1,13,0,19,0,711,0,4,1,5,785,1,0,869,0,31
7841,5,12,0,9,0,778,0,4,1,3,839,5,0,947,0,23
7842,3,15,0,21,0,773,0,5,1,8,864,2,1,960,0,36
7843,0,9,0,16,2,617,0,1,1,9,679,3,0,802,0,22
7844,6,13,0,12,0,523,0,5,1,8,594,3,0,682,0,24
7845,2,14,0,16,0,709,0,4,1,4,783,5,1,869,0,28
7846,5,14,0,10,0,728,0,1,1,5,814,2,0,925,0,49
7847,2,13,0,16,1,771,0,5,1,6,843,2,0,960,0,27
7848,3,8,0,13,0,756,0,2,1,6,818,2,0,905,0,28
7849,4,14,0,23,0,780,0,6,1,6,864,2,0,967,0,29
7851,2,5,0,4,1,399,0,0,1,5,472,0,0,528,0,56
7852,4,11,0,8,0,501,0,3,1,8,584,1,1,644,0,47
7853,2,10,0,10,0,703,0,2,1,4,770,2,1,896,0,36
7854,2,20,0,14,1,747,0,4,1,4,825,1,0,933,0,32
7855,3,10,0,24,0,790,1,3,1,4,870,3,0,968,0,32
7856,2,7,0,16,0,712,0,4,1,4,769,1,0,849,0,23
7857,6,12,0,32,0,754,0,4,1,6,854,6,0,963,0,34
7858,5,7,0,13,0,608,0,7,1,4,674,4,1,791,0,25
7859,0,16,0,11,1,748,0,5,1,3,834,2,0,915,0,48
7861,2,9,0,16,2,695,2,4,1,8,776,3,1,881,0,34
7862,2,8,0,20,0,732,1,6,1,4,815,1,0,923,0,41
7863,4,9,0,29,1,732,0,4,1,8,819,4,4,939,0,24
7864,3,12,0,21,1,624,0,2,1,7,703,3,1,815,0,29
7865,2,11,0,11,0,669,0,4,1,7,754,4,2,853,0,44
7866,3,11,0,16,2,613,0,1,1,15,746,3,0,831,0,82
7867,5,14,0,17,0,726,0,3,1,1,822,1,0,946,0,55
7868,3,15,0,16,0,673,0,2,1,8,764,4,1,901,0,42
7869,1,9,0,16,1,719,0,4,1,7,789,1,0,874,0,31
7871,5,11,0,21,1,719,0,4,1,13,804,0,0,909,0,30
7872,2,13,0,12,0,736,0,6,1,4,819,6,0,902,0,40
7873,1,10,0,13,0,722,0,9,1,4,788,3,1,874,0,25
7874,4,8,0,4,1,355,0,5,1,6,408,2,0,482,0,23
7875,1,10,0,13,0,446,0,4,1,3,525,1,2,628,0,45
7901,7,11,0,31,0,845,0,5,1,8,952,9,6,1286,0,30
7902,3,10,0,38,0,734,0,6,1,4,842,3,3,1064,0,41
7903,7,7,0,22,0,559,0,4,1,3,652,7,5,929,0,38
7904,2,18,0,28,0,596,0,4,1,4,694,3,1,926,0,38
7905,9,13,0,27,1,621,0,6,1,5,718,3,2,851,0,31
7906,3,10,0,13,0,608,0,2,1,2,653,2,0,854,0,13
7907,5,6,0,25,0,755,0,2,1,11,834,4,1,991,0,25
7908,3,9,0,29,0,747,0,2,1,6,872,5,5,1008,0,66
7909,3,12,0,31,1,576,0,5,1,2,644,3,0,787,1,10
7911,5,7,0,20,0,657,0,1,1,7,734,4,2,907,0,31
7912,9,15,0,26,0,763,0,3,1,12,874,9,4,1090,1,32
7913,5,11,0,29,0,709,0,6,1,7,800,4,1,964,0,28
7914,2,11,0,25,0,680,0,2,1,2,752,2,4,895,0,24
7915,6,9,0,31,0,630,0,1,1,11,716,4,2,892,0,22
7916,4,10,0,31,0,686,0,2,1,4,768,5,3,953,0,23
7917,4,7,0,41,0,753,0,4,1,8,868,5,5,1073,0,41
7918,5,7,0,40,0,610,0,3,1,5,697,6,2,860,1,18
7919,9,11,0,31,0,662,0,4,1,11,767,5,3,928,0,31
7921,2,11,0,31,0,577,0,4,1,6,694,16,6,970,0,41
7922,1,5,0,29,0,630,0,3,1,4,705,6,0,884,0,27
7923,4,8,0,29,0,600,0,4,1,8,689,6,2,930,0,28
7924,4,7,0,36,0,590,0,2,1,14,696,7,3,883,0,33
7925,1,5,0,19,1,429,0,3,1,1,483,3,1,591,0,20
7926,5,4,0,35,0,614,0,0,1,6,695,4,0,820,0,27
7927,2,8,0,35,0,600,0,8,1,6,688,4,0,782,0,25
7928,1,10,0,25,0,767,0,4,1,5,849,8,2,976,0,27
7929,3,6,0,26,0,712,0,6,1,2,780,3,1,871,0,21
7931,5,8,0,17,0,628,0,3,1,2,687,2,0,765,0,22
7932,0,6,0,15,0,429,0,2,1,3,482,3,0,557,0,24
7933,0,0,0,0,0,7,0,0,1,0,7,0,0,8,0,0
7934,2,9,0,30,0,691,0,2,1,3,772,5,3,888,0,27
7935,3,8,0,34,0,770,0,2,1,6,851,3,1,949,0,24
7936,1,9,0,23,0,696,0,1,1,4,764,4,2,876,0,24
7937,3,4,0,26,0,700,0,2,1,6,780,3,2,909,0,34
7938,7,10,0,23,0,552,0,3,1,4,636,8,4,808,0,25
7939,1,9,0,18,0,541,0,0,1,8,593,1,0,674,0,15
7941,3,13,0,15,0,587,0,4,1,5,655,6,2,790,0,20
7942,4,4,0,19,0,669,0,7,1,7,769,2,2,950,0,55
7943,7,5,0,28,0,655,0,1,1,7,780,4,2,938,0,71
7944,5,11,0,23,0,619,0,0,1,1,692,3,1,830,0,29
7945,3,8,0,19,0,575,0,4,1,4,663,3,1,926,0,46
7946,4,2,0,18,0,573,0,4,1,14,716,2,0,976,0,99
7947,3,12,0,23,1,571,0,2,1,8,717,4,1,964,0,92
7948,3,9,0,24,1,557,0,3,1,16,721,6,2,933,0,100
7949,0,8,0,5,0,319,0,3,1,13,433,3,1,594,0,81
7951,4,15,0,11,0,491,0,1,1,9,645,6,1,841,0,107
7952,6,6,0,21,3,487,0,2,1,10,651,6,3,865,0,107
7953,4,11,0,17,0,530,0,2,1,18,677,5,1,853,0,89
7954,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7955,3,9,0,16,1,535,0,3,1,5,684,7,1,899,0,104
7956,3,10,0,17,0,432,1,3,1,7,579,1,0,779,0,105
7957,3,8,0,18,0,429,0,3,1,6,524,3,0,664,0,54
7958,1,1,0,9,0,156,0,3,1,5,199,2,0,291,0,22
9001,0,7,0,2,1,155,0,2,1,3,197,1,2,269,0,24
9101,6,12,0,30,0,559,0,9,1,15,740,2,0,899,0,107
9102,7,13,0,19,0,650,0,3,1,10,817,0,1,989,0,114
9103,3,24,0,24,0,593,0,7,1,13,786,6,4,971,0,112
9104,3,21,0,29,0,614,0,7,1,10,795,6,0,1004,1,104
9105,4,20,0,20,3,659,0,7,1,11,817,5,1,975,0,87
9106,5,18,0,16,1,685,0,6,1,5,819,3,0,938,0,80
9107,6,9,0,27,0,540,0,4,1,5,679,1,3,859,0,84
9108,3,9,1,19,2,564,0,2,1,6,691,7,0,815,0,78
9109,4,18,0,17,0,625,0,4,1,7,749,3,0,875,0,71
9111,4,15,0,11,4,503,0,2,1,10,637,5,0,785,0,83
9112,2,12,0,24,0,664,0,4,1,16,804,3,0,975,0,79
9113,4,21,0,22,0,715,0,5,1,17,853,4,1,1008,0,64
9114,5,18,0,17,1,614,0,4,1,8,749,4,0,913,0,78
9115,4,18,0,25,1,627,0,5,1,8,761,3,1,948,0,69
9116,3,22,0,20,0,675,0,6,1,11,811,1,1,986,0,72
9117,5,17,0,22,0,525,0,9,1,10,670,2,1,785,0,79
9118,2,14,1,15,0,626,0,2,1,10,780,2,2,987,0,106
9119,4,13,0,26,0,567,0,2,1,18,744,7,1,911,0,106
9121,9,19,0,25,1,586,0,6,1,9,758,7,0,950,0,96
9122,5,16,0,18,1,600,0,4,1,12,769,7,0,976,0,106
9123,6,15,0,14,0,573,0,7,1,9,740,1,1,902,0,114
9124,2,18,0,29,0,577,0,8,1,15,730,1,1,940,0,79
9125,7,13,0,31,0,588,0,1,1,9,740,11,1,911,0,79
9126,5,22,0,17,2,651,0,6,1,15,820,4,2,978,0,96
9127,4,20,0,22,3,665,0,1,1,21,819,2,1,985,0,80
9128,4,13,0,7,0,577,0,4,1,7,727,3,1,859,0,111
9129,1,9,0,13,0,504,0,6,1,7,621,3,0,772,0,78
9131,5,10,0,20,0,541,0,6,1,8,661,3,0,806,1,67
9132,6,8,0,15,2,603,0,4,1,8,701,0,2,898,0,53
9133,6,21,0,17,0,732,0,8,1,15,888,2,0,1083,0,87
9134,3,34,0,20,1,612,0,2,1,7,767,0,0,937,0,88
9135,5,12,0,18,0,474,0,6,1,7,652,3,2,831,0,125
9136,8,14,0,20,0,649,0,2,1,8,788,1,1,952,0,85
9137,3,13,0,28,0,621,0,2,1,11,785,3,0,977,0,104
9138,4,15,0,16,0,600,0,6,1,18,771,4,0,930,0,108
9139,1,25,0,28,0,604,0,3,1,15,831,2,0,1004,0,153
9141,9,16,0,25,1,590,0,1,1,18,794,7,2,963,0,125
9142,2,12,0,18,0,708,0,3,1,12,843,4,0,1003,0,84
9143,3,15,0,18,1,572,0,6,1,19,747,3,1,921,0,109
9144,6,20,0,16,1,657,0,5,1,15,832,4,0,983,0,108
9145,5,23,0,17,0,616,0,8,1,4,753,3,1,889,0,76
9146,4,9,0,33,1,661,0,9,1,8,799,1,0,929,0,73
9147,7,22,0,25,0,679,0,3,1,11,818,7,2,983,0,62
9148,7,16,0,26,1,744,0,6,1,7,869,5,1,1007,0,56
9149,5,20,0,19,0,706,0,8,1,11,842,4,0,976,0,69
9151,6,18,0,12,2,580,0,8,1,7,704,2,2,858,0,67
9152,1,12,0,16,0,543,0,5,1,3,636,0,0,842,3,53
9201,12,39,0,30,5,739,0,8,1,6,893,3,1,1047,0,50
9202,3,33,0,12,0,693,0,10,1,4,806,0,1,962,0,50
9203,2,44,0,9,5,615,0,12,1,21,857,1,2,1006,0,146
9204,2,28,0,5,1,546,0,14,1,15,733,2,0,849,0,120
9205,3,29,0,12,0,535,0,6,1,8,652,0,0,760,0,59
9206,0,38,0,7,1,582,0,21,1,21,822,1,0,960,0,151
9207,4,36,0,12,3,634,0,12,1,16,845,0,1,980,0,127
9208,0,46,0,3,9,706,0,13,1,13,897,2,0,1028,0,105
9209,3,23,0,3,2,506,0,13,1,14,646,1,1,750,0,80
9211,3,41,0,10,1,612,0,9,1,10,778,1,0,910,0,91
9212,3,39,0,7,0,609,0,10,1,13,746,0,0,857,0,65
9213,2,43,0,14,2,686,0,9,1,11,853,1,1,987,0,84
9214,2,19,0,4,2,411,0,5,1,9,539,3,0,632,0,84
9215,3,29,0,8,2,437,0,9,1,11,566,1,0,645,0,66
9216,1,39,0,8,1,566,0,17,1,9,726,1,0,861,0,84
9217,3,29,0,6,0,526,0,6,1,10,662,1,0,761,0,81
9218,1,27,0,9,3,581,0,10,1,15,730,1,2,868,0,81
9219,0,30,0,4,1,590,0,9,1,12,719,0,0,829,0,73
9221,1,30,0,7,0,481,0,12,1,16,637,1,1,662,0,88
9222,0,21,0,2,1,653,0,9,1,21,811,1,1,889,0,102
9223,3,28,0,5,0,453,0,8,1,4,573,0,0,664,0,72
9224,2,37,0,8,0,653,0,14,1,12,863,2,0,993,0,135
9225,2,41,0,11,1,769,1,11,1,7,926,1,0,994,0,82
9226,2,37,0,13,2,664,0,14,1,6,833,2,0,960,0,93
9227,2,30,0,7,0,511,0,13,1,10,665,1,2,759,0,89
9228,4,17,0,11,3,478,1,12,1,17,651,0,0,725,0,108
9229,1,25,0,12,1,455,0,2,1,2,555,1,0,615,0,56
9231,4,35,0,10,1,751,0,7,1,8,869,2,1,1006,0,50
9232,1,15,0,16,1,557,0,15,1,5,695,1,0,746,0,84
9233,0,29,0,1,2,608,0,9,1,16,736,2,1,816,0,68
9234,2,19,0,11,0,532,0,12,1,18,664,2,0,759,0,68
