OBJECTID,precinct_id,num_blocks,total_population,hispanic_or_latino,NeighRep,SupDist,DISTRICT,CongDist,BARTDist,white,two_or_more_races,one_race_total,AssemDist,PREC_2010,native_hawaiian_and_other_pacif,PREC_2012,asian,total_population_not_hispanic_o,black_or_african_american,american_indian_and_alaska_nati,some_other_race
25,1126,19,2285.000000000000000,727.000000000000000,EXCELSIOR,11,11,14,8,392.000000000000000,83.000000000000000,2202.000000000000000,19,1141,6.000000000000000,1126,1320.000000000000000,1558.000000000000000,66.000000000000000,24.000000000000000,394.000000000000000
26,1127,15,1968.000000000000000,450.000000000000000,EXCELSIOR,11,11,14,8,385.000000000000000,91.000000000000000,1877.000000000000000,19,1142,11.000000000000000,1127,1243.000000000000000,1518.000000000000000,28.000000000000000,3.000000000000000,207.000000000000000
27,1128,13,2170.000000000000000,686.000000000000000,EXCELSIOR,11,11,14,8,373.000000000000000,66.000000000000000,2104.000000000000000,19,1134,0.000000000000000,1128,1284.000000000000000,1484.000000000000000,22.000000000000000,16.000000000000000,409.000000000000000
28,1129,14,2170.000000000000000,576.000000000000000,EXCELSIOR,11,11,14,8,310.000000000000000,65.000000000000000,2105.000000000000000,19,1143,12.000000000000000,1129,1371.000000000000000,1594.000000000000000,47.000000000000000,7.000000000000000,358.000000000000000
29,1131,13,1991.000000000000000,590.000000000000000,EXCELSIOR,11,11,14,8,362.000000000000000,69.000000000000000,1922.000000000000000,19,1144,1.000000000000000,1131,1236.000000000000000,1401.000000000000000,15.000000000000000,1.000000000000000,307.000000000000000
30,1132,18,2246.000000000000000,606.000000000000000,EXCELSIOR,11,11,14,8,461.000000000000000,91.000000000000000,2155.000000000000000,19,1135,2.000000000000000,1132,1344.000000000000000,1640.000000000000000,18.000000000000000,11.000000000000000,319.000000000000000
31,1133,18,1820.000000000000000,506.000000000000000,EXCELSIOR,11,11,14,8,588.000000000000000,73.000000000000000,1747.000000000000000,19,1145,4.000000000000000,1133,898.000000000000000,1314.000000000000000,28.000000000000000,5.000000000000000,224.000000000000000
32,1134,15,1686.000000000000000,454.000000000000000,EXCELSIOR,11,11,14,8,404.000000000000000,66.000000000000000,1620.000000000000000,19,1146,7.000000000000000,1134,975.000000000000000,1232.000000000000000,18.000000000000000,6.000000000000000,210.000000000000000
33,1135,13,1019.000000000000000,241.000000000000000,EXCELSIOR,11,11,14,8,279.000000000000000,38.000000000000000,981.000000000000000,19,1147,0.000000000000000,1135,575.000000000000000,778.000000000000000,17.000000000000000,1.000000000000000,109.000000000000000
34,1136,12,1661.000000000000000,436.000000000000000,EXCELSIOR,11,11,14,8,404.000000000000000,107.000000000000000,1554.000000000000000,19,2008,6.000000000000000,1136,864.000000000000000,1225.000000000000000,61.000000000000000,10.000000000000000,209.000000000000000
35,1141,19,1937.000000000000000,645.000000000000000,EXCELSIOR,11,11,12,9,427.000000000000000,111.000000000000000,1826.000000000000000,17,1103,5.000000000000000,1141,969.000000000000000,1292.000000000000000,45.000000000000000,20.000000000000000,360.000000000000000
36,1142,12,2213.000000000000000,729.000000000000000,EXCELSIOR,11,11,12,9,853.000000000000000,90.000000000000000,2123.000000000000000,17,1106,17.000000000000000,1142,766.000000000000000,1484.000000000000000,53.000000000000000,11.000000000000000,423.000000000000000
37,1143,10,2336.000000000000000,1112.000000000000000,EXCELSIOR,11,11,12,9,660.000000000000000,109.000000000000000,2227.000000000000000,17,1107,2.000000000000000,1143,873.000000000000000,1224.000000000000000,54.000000000000000,22.000000000000000,616.000000000000000
38,1144,9,2043.000000000000000,916.000000000000000,EXCELSIOR,11,11,12,9,603.000000000000000,90.000000000000000,1953.000000000000000,17,1108,7.000000000000000,1144,851.000000000000000,1127.000000000000000,30.000000000000000,11.000000000000000,451.000000000000000
