precinctid,matt_haney,writein,mark_sanchez,stevon_cook,under_vote,jill_wynns,precincts,ballots_cast,trevor_mcneil,over_vote,ian_kalin,registration,rachel_norton,rob_geller,phil_kim
9256,149,0,102,129,654,75,1,342,79,0,42,403,90,14,34
9257,129,0,120,112,509,56,1,287,58,0,22,339,87,14,41
9258,288,0,201,224,1114,153,1,645,135,12,87,715,228,36,102
9401,317,9,349,297,1456,144,1,815,184,4,84,1014,220,54,142
9402,342,5,328,274,1507,162,1,816,156,0,70,1028,233,57,130
9403,281,4,305,253,1255,165,1,739,176,20,76,933,217,65,139
9404,304,7,307,256,1300,158,1,744,168,4,72,921,212,46,142
9405,273,8,245,229,1220,161,1,699,163,4,69,818,229,63,132
9406,324,0,306,278,1334,179,1,791,178,8,90,916,261,47,159
9407,278,1,266,240,1330,158,1,728,166,4,73,941,214,34,148
9408,293,1,288,275,1240,142,1,704,119,36,54,879,187,56,125
9409,219,6,228,179,927,108,1,524,108,0,46,626,144,36,95
9411,327,1,376,309,1513,151,1,840,182,0,71,1051,234,60,136
9412,293,1,295,252,1185,174,1,703,134,4,74,885,213,52,135
9413,286,5,283,248,1342,166,1,742,164,0,75,907,210,65,124
9414,289,1,273,248,1299,185,1,740,162,0,71,894,222,45,165
9415,249,0,223,186,1150,165,1,637,149,16,55,798,202,40,113
9416,300,2,301,268,1454,196,1,806,221,4,72,1018,233,43,130
9417,215,2,230,188,1089,142,1,604,148,4,83,759,177,32,106
9418,223,0,218,182,1263,131,1,642,133,4,63,814,186,40,125
9419,232,5,251,185,1339,157,1,708,166,0,72,902,197,58,170
9421,264,1,269,196,1368,177,1,732,166,0,72,929,223,45,147
9422,359,0,305,286,1539,196,1,887,197,24,114,1082,279,71,178
9423,286,8,284,246,1273,161,1,718,156,4,57,909,220,56,121
9424,319,1,309,233,1190,205,1,756,169,16,93,951,254,64,171
9425,244,0,275,184,1375,185,1,748,187,12,85,964,226,60,159
9426,237,9,241,204,1164,141,1,663,178,4,98,835,180,51,145
9427,258,4,235,213,1307,173,1,733,174,16,100,963,222,63,167
9428,248,2,261,196,1389,186,1,754,200,4,96,963,222,60,152
9429,246,1,250,195,1271,165,1,707,195,8,72,909,198,56,171
9431,306,3,302,255,1403,187,1,821,206,4,96,1024,285,52,185
9432,256,8,234,198,1306,178,1,718,157,4,85,913,247,58,141
9433,281,0,274,239,1321,202,1,759,180,12,74,973,233,61,159
9434,320,3,319,261,1365,187,1,803,208,4,87,997,254,57,147
9435,281,0,299,258,1321,174,1,765,190,0,84,969,232,64,157
9436,271,2,300,237,1411,179,1,783,178,0,84,994,233,69,168
9437,260,3,279,224,1226,191,1,713,162,8,75,954,228,50,146
9438,263,4,263,217,1483,197,1,791,179,4,94,1000,221,71,168
9439,278,2,256,208,1230,185,1,690,148,4,58,903,203,44,144
9441,338,1,314,269,1296,216,1,800,211,8,94,1004,255,59,139
9442,299,2,290,260,1462,189,1,809,181,28,92,1027,219,50,164
9443,279,5,271,220,1282,184,1,748,203,4,83,937,247,59,155
9444,257,7,263,211,1272,172,1,720,191,8,87,955,206,64,142
9445,284,3,316,240,1290,179,1,751,174,12,66,993,249,53,138
9446,359,3,315,268,1551,237,1,912,246,8,109,1084,295,64,193
9447,325,4,289,255,1245,196,1,761,183,4,92,954,247,59,145
9448,260,1,256,197,1322,197,1,728,148,4,78,950,229,59,161
9449,225,6,220,156,1168,179,1,639,139,16,62,820,191,39,155
9451,130,0,150,109,608,102,1,370,106,4,45,438,118,28,80
9452,256,0,260,192,1265,176,1,701,185,0,84,829,201,48,137
9453,137,0,136,102,752,116,1,415,118,16,45,502,126,25,87
9501,51,0,39,37,237,23,1,131,39,0,20,153,47,12,19
9502,101,0,56,76,389,50,1,209,32,12,14,233,76,9,21
9503,283,0,228,230,1294,135,1,674,137,16,58,822,193,36,86
9505,281,3,240,252,1071,114,1,617,117,28,38,804,211,32,81
9506,279,2,261,241,1022,115,1,602,118,8,45,810,198,35,84
9507,352,0,267,290,1037,129,1,638,97,12,54,783,228,20,66
9508,362,1,296,340,1295,112,1,720,110,0,56,862,212,25,71
9509,308,4,243,262,1217,129,1,661,114,4,65,758,193,27,78
9511,251,0,233,243,950,88,1,529,84,0,55,630,137,25,50
9512,371,2,317,347,1173,128,1,709,109,0,56,848,221,41,71
9513,396,4,324,344,1288,132,1,766,145,4,49,952,254,37,87
9514,399,2,311,341,1456,182,1,832,140,0,87,959,268,38,104
9515,323,1,262,275,1036,132,1,646,132,4,71,748,215,42,91
9516,335,1,306,284,1305,158,1,763,161,4,69,922,248,54,127
9517,335,1,270,304,1314,111,1,713,129,8,56,854,204,29,91
9518,346,2,290,313,1217,128,1,707,131,8,54,826,221,34,84
9519,385,5,306,324,1338,173,1,790,161,4,77,922,248,37,102
9521,380,2,327,346,1396,166,1,827,175,8,96,947,279,34,99
9701,241,0,197,203,1008,127,1,571,124,4,62,664,182,35,101
9702,277,4,250,259,1135,118,1,640,125,0,61,760,181,48,102
9703,349,3,277,295,1412,197,1,818,190,4,87,989,232,63,163
9704,361,3,290,305,1492,190,1,836,153,0,91,971,256,59,144
9705,355,1,289,305,1463,187,1,836,186,0,86,954,286,52,134
9706,23,0,22,21,95,15,1,54,14,0,7,54,16,1,2
9707,256,0,204,195,1170,195,1,679,167,4,101,805,234,51,139
9708,320,18,292,312,1504,186,1,829,159,8,80,956,223,51,163
9709,326,1,250,262,1450,235,1,848,244,16,112,1029,263,69,164
9711,270,2,196,213,898,181,1,572,129,0,59,643,210,38,92
9712,253,1,164,177,1022,183,1,593,140,12,89,656,208,49,74
9713,277,3,228,233,1417,182,1,782,204,4,110,974,248,60,162
9714,331,4,267,254,1397,224,1,825,215,0,115,941,300,51,142
9715,206,0,144,159,899,173,1,521,132,4,67,580,210,25,65
9716,288,3,260,279,1384,200,1,791,205,4,94,975,247,49,151
9717,338,5,293,284,1449,197,1,837,220,8,104,993,257,57,136
9718,287,0,221,255,1218,220,1,755,228,8,126,859,264,69,124
9719,305,0,254,238,1171,245,1,755,229,0,120,880,298,54,106
9721,243,1,177,190,916,155,1,575,166,0,99,657,217,52,84
9722,210,5,163,167,902,166,1,543,162,4,72,634,175,51,95
9723,139,1,117,95,775,109,1,396,95,8,39,478,110,22,74
9724,277,5,242,203,1512,223,1,824,213,4,130,978,229,66,192
9725,264,2,211,199,1463,198,1,783,230,8,119,985,224,54,160
9726,204,4,217,220,1150,112,1,606,152,4,47,782,154,43,117
9727,155,1,101,120,642,122,1,396,131,8,70,454,125,28,81
9728,317,1,240,235,1318,241,1,805,248,4,123,937,302,48,143
9729,299,0,174,208,1148,250,1,708,206,8,98,802,269,59,113
9731,199,4,130,142,771,174,1,485,151,0,75,548,194,35,65
9732,23,4,16,15,139,31,1,71,14,0,6,76,26,2,8
9733,92,1,75,79,313,60,1,204,47,4,22,221,76,9,38
9734,225,17,153,181,801,164,1,535,167,0,91,603,196,54,91
9735,279,6,221,249,1087,202,1,699,209,8,90,807,268,60,117
9736,288,1,229,257,972,195,1,651,165,0,99,729,275,51,72
9737,318,5,279,295,1057,205,1,715,184,4,76,782,266,47,124
9738,235,4,238,226,1217,136,1,680,192,0,81,850,204,69,118
9739,242,4,269,279,1222,109,1,681,157,4,65,912,186,66,121
9741,161,5,198,211,1567,79,1,679,142,0,57,1064,110,67,119
9742,193,1,149,150,930,153,1,530,132,4,80,669,172,41,115
9743,366,3,353,329,1592,179,1,907,210,4,85,1159,255,89,163
9744,258,3,292,289,1401,132,1,763,184,4,83,968,200,63,143
9745,263,4,309,284,1351,147,1,762,190,12,74,1052,186,75,153
9746,307,3,249,269,1315,218,1,783,208,0,103,903,247,61,152
9747,339,3,304,290,1275,204,1,797,216,8,83,989,260,51,155
9748,322,3,274,295,1329,193,1,809,204,20,94,981,261,69,172
9749,241,3,277,247,1219,145,1,686,173,4,53,969,199,46,137
9751,372,8,306,277,1504,250,1,908,237,8,116,1011,316,75,163
9752,288,0,221,226,934,158,1,626,175,8,75,721,233,66,120
9753,268,0,239,235,1036,151,1,636,156,4,76,777,222,56,101
9754,300,1,303,274,981,149,1,648,149,4,50,744,241,34,106
9755,222,0,210,216,773,118,1,492,101,8,47,605,153,42,78
9756,274,4,266,259,1431,158,1,784,208,16,90,980,199,64,167
9801,139,4,144,134,506,71,1,339,92,4,46,434,102,33,81
9900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9901,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9902,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
