precinctid,matt_haney,writein,mark_sanchez,stevon_cook,under_vote,jill_wynns,precincts,ballots_cast,trevor_mcneil,over_vote,ian_kalin,registration,rachel_norton,rob_geller,phil_kim
7531,390,7,309,381,1415,157,1,805,122,0,78,954,240,28,93
7532,327,0,260,302,1348,132,1,741,145,4,93,886,231,38,84
7533,432,5,391,420,1629,147,1,910,153,0,89,1025,244,37,93
7534,393,1,320,358,1356,139,1,775,113,4,54,967,233,45,84
7535,361,2,284,325,1216,160,1,711,110,4,50,807,227,25,80
7536,380,1,310,352,1388,137,1,775,106,4,71,895,253,33,65
7537,339,0,272,321,1133,118,1,664,109,8,59,783,207,23,67
7538,372,3,311,343,1287,130,1,736,113,4,61,831,214,31,75
7539,430,3,377,411,1444,110,1,821,127,0,52,978,216,35,79
7541,395,5,309,333,1277,129,1,728,100,8,54,865,209,18,75
7542,403,5,350,381,1227,118,1,756,123,0,61,906,230,41,85
7543,389,2,328,374,1405,147,1,806,138,0,67,993,252,31,91
7544,399,10,312,335,1487,155,1,821,111,12,75,962,261,43,84
7545,397,1,314,360,1495,163,1,833,111,4,77,970,277,45,88
7546,419,0,347,373,1305,171,1,817,168,16,73,935,263,45,88
7547,391,3,318,374,1546,137,1,837,138,8,83,1057,230,35,85
7548,447,6,343,401,1519,199,1,894,133,12,83,1135,312,40,81
7549,357,2,291,306,1284,158,1,734,138,4,49,854,230,31,86
7551,336,1,273,292,1137,138,1,669,106,0,58,762,224,45,66
7552,339,2,257,307,1126,150,1,678,129,0,69,756,236,25,72
7553,81,1,54,68,267,50,1,168,29,0,22,187,71,9,20
7554,382,2,286,330,1202,190,1,769,169,4,84,859,320,25,82
7555,442,2,310,360,1385,206,1,846,149,4,89,893,327,33,77
7556,486,2,291,378,1439,249,1,906,177,4,96,1008,401,30,71
7601,270,4,237,207,1072,108,1,588,118,16,48,929,143,36,93
7602,329,2,289,280,1222,116,1,689,128,32,48,962,155,53,102
7603,362,0,289,292,1172,133,1,690,119,4,51,888,176,51,111
7604,300,2,261,260,1215,111,1,677,149,20,78,989,145,56,111
7605,180,4,162,157,825,70,1,428,87,4,33,771,99,32,59
7606,292,3,253,248,1194,90,1,640,112,28,53,992,143,41,103
7607,343,7,286,300,1264,100,1,710,148,4,53,1055,153,67,115
7608,95,1,83,62,459,53,1,244,53,12,19,456,74,27,38
7609,258,1,200,167,977,118,1,551,112,16,29,1051,167,47,112
7611,186,1,175,148,918,88,1,479,104,8,39,898,122,40,87
7612,181,4,143,136,735,98,1,418,91,8,40,668,135,37,64
7613,269,8,247,213,1144,114,1,617,113,12,54,1015,160,42,92
7614,326,9,320,297,1416,145,1,793,178,12,59,1177,195,72,143
7615,233,0,187,180,967,82,1,528,120,4,47,1020,129,58,105
7616,341,0,255,267,1596,171,1,807,131,0,98,981,232,42,95
7617,207,0,182,168,931,106,1,516,97,20,39,898,172,51,91
7618,351,6,276,288,1139,151,1,689,137,8,55,948,189,45,111
7619,678,17,510,522,2712,283,1,1485,292,16,145,1971,420,110,235
7621,341,3,268,279,1504,158,1,800,156,4,97,1082,207,64,119
7622,245,1,195,169,949,85,1,534,108,16,60,1007,140,61,107
7623,229,1,194,169,812,88,1,467,85,8,36,839,113,51,82
7624,269,4,227,216,953,96,1,565,122,24,47,1074,143,55,104
7625,280,0,187,149,1094,160,1,617,156,40,64,896,196,59,83
7626,457,6,300,318,1850,217,1,1011,221,0,154,1177,301,70,150
7627,531,1,323,376,2650,291,1,1326,244,16,211,1586,368,100,193
7628,324,4,268,286,1328,132,1,720,122,8,76,1006,194,50,88
7629,260,0,203,210,1115,106,1,577,102,4,60,837,138,31,79
7631,400,9,292,328,1679,181,1,915,192,4,104,1143,254,65,152
7632,267,6,218,228,930,100,1,532,80,0,51,727,142,31,75
7633,265,2,190,207,1008,147,1,574,99,4,51,731,188,47,88
7634,331,1,230,237,1271,138,1,706,141,4,73,1017,241,65,92
7635,253,2,220,224,1248,100,1,643,120,12,92,868,165,38,98
7636,300,1,207,222,1675,157,1,784,131,4,100,993,190,38,111
7637,476,4,332,339,2264,220,1,1151,220,32,159,1361,318,75,165
7638,466,0,283,338,2145,272,1,1135,240,8,189,1285,346,76,177
7639,358,1,228,262,1766,195,1,891,189,8,117,1011,269,49,122
7641,360,5,211,251,1400,203,1,795,167,20,122,977,268,61,112
7642,255,4,195,203,1823,141,1,810,170,8,73,967,172,58,138
7643,354,12,229,231,1361,169,1,758,165,16,91,959,226,67,111
7644,384,0,279,274,1860,142,1,925,171,16,124,1111,235,58,157
7645,244,0,150,179,1185,127,1,587,116,4,60,669,188,26,69
7646,828,5,492,589,3675,407,1,1893,365,8,287,2163,538,114,264
7647,241,2,270,225,1072,76,1,598,138,4,58,1028,140,43,123
7648,1,0,1,1,6,1,1,3,0,0,0,4,2,0,0
7701,395,0,303,340,1620,226,1,914,186,8,94,1049,288,62,134
7702,268,0,204,211,1106,177,1,663,170,0,98,775,238,62,118
7703,32,0,24,23,219,22,1,100,21,4,7,178,22,9,17
7704,371,1,307,286,1465,228,1,881,246,0,128,1006,282,70,140
7705,201,1,166,166,778,135,1,495,142,12,73,554,177,37,92
7706,323,7,269,288,1222,217,1,773,194,8,96,853,282,68,118
7707,367,4,270,299,1177,249,1,784,198,12,97,854,304,44,115
7708,367,1,329,301,1182,211,1,783,197,12,81,894,271,52,128
7709,178,0,185,166,513,63,1,354,91,0,39,390,108,21,52
7711,314,2,256,290,1093,168,1,685,151,4,60,789,256,48,98
7712,245,3,216,238,833,113,1,518,83,8,47,577,189,32,65
7801,527,3,322,429,1465,285,1,964,195,8,96,975,389,37,100
7802,362,3,283,325,1096,182,1,723,147,8,81,760,290,34,81
7803,366,0,266,305,1332,212,1,774,141,0,78,827,279,37,80
7804,440,4,315,364,1446,219,1,876,181,0,90,932,327,38,80
7805,385,0,320,357,1193,197,1,761,139,0,62,852,268,39,84
7806,342,1,267,327,1028,157,1,663,129,0,63,746,223,43,72
7807,349,1,319,302,1111,130,1,671,110,0,58,774,191,31,82
7808,300,2,252,283,944,119,1,578,93,0,49,702,181,25,64
7809,517,9,412,499,1841,245,1,1091,188,4,116,1234,352,54,127
7811,359,3,306,325,1166,134,1,696,113,8,63,806,190,36,81
7812,376,2,323,327,1245,157,1,752,141,4,59,892,236,47,91
7813,482,9,390,403,1620,186,1,943,145,0,99,1061,276,50,112
7814,256,3,336,284,1224,101,1,667,104,12,35,919,153,66,94
7815,450,3,336,400,1377,232,1,879,146,20,101,967,313,51,87
7816,446,1,310,361,1229,235,1,823,169,0,70,896,325,39,107
7817,375,1,309,334,1163,145,1,711,109,4,56,804,223,39,86
7818,389,0,338,363,1290,172,1,787,152,0,52,889,241,53,98
7819,318,0,288,310,1148,134,1,682,108,4,48,809,193,77,100
7821,490,2,365,403,1381,247,1,916,172,0,109,998,334,55,106
7822,396,3,318,336,1240,182,1,776,154,4,68,951,258,37,108
7823,421,1,340,391,1257,183,1,806,145,4,71,928,270,46,95
7824,331,4,269,286,1187,115,1,665,104,8,56,794,183,38,79
7825,258,3,223,249,802,125,1,521,96,0,51,578,180,32,65
7826,355,0,296,326,966,127,1,633,98,0,56,709,205,36,67
7827,361,1,371,372,1343,107,1,758,111,4,52,931,158,57,95
7828,438,0,336,408,1508,214,1,924,216,8,102,1053,300,43,123
7829,438,4,303,359,1260,242,1,841,178,4,96,904,325,57,98
7831,442,0,321,376,1197,238,1,803,146,8,72,906,311,35,66
7832,376,0,293,336,1258,185,1,759,140,0,86,824,266,31,65
7833,365,0,303,316,1205,152,1,710,97,0,66,785,222,31,83
7834,431,0,371,384,1241,143,1,775,111,0,61,901,224,58,76
7835,376,4,306,350,1274,164,1,785,176,0,76,863,245,59,110
7836,418,3,349,361,1504,200,1,903,194,8,90,990,299,57,129
7837,413,5,285,328,1426,221,1,840,155,8,83,934,308,34,94
7838,455,2,346,387,1168,221,1,839,192,12,82,933,340,48,103
7839,375,5,295,316,1323,206,1,785,140,8,74,869,268,33,97
7841,426,4,330,377,1419,201,1,839,122,4,82,947,284,27,80
7842,465,1,403,427,1341,175,1,864,165,4,76,960,270,34,95
7843,359,1,315,334,1026,162,1,679,107,4,61,802,227,40,80
7844,289,0,292,291,997,105,1,594,93,0,49,682,157,23,80
7845,410,2,299,352,1166,214,1,783,165,12,85,869,315,34,78
7846,410,0,277,340,1280,246,1,814,170,12,76,925,341,33,71
7847,443,1,307,354,1313,233,1,843,162,8,71,960,319,52,109
7848,430,1,311,341,1225,221,1,818,164,12,119,905,308,51,89
7849,464,5,346,411,1304,225,1,864,167,0,72,967,329,48,85
7851,225,0,142,163,720,169,1,472,92,0,56,528,205,32,84
7852,268,0,220,229,938,153,1,584,126,4,59,644,199,43,97
7853,386,2,291,322,1133,200,1,770,182,4,80,896,320,48,112
7854,385,1,266,315,1361,236,1,825,177,12,90,933,304,47,106
7855,444,2,360,389,1361,215,1,870,162,0,100,968,311,44,92
7856,394,4,329,347,1178,180,1,769,143,4,97,849,253,40,107
7857,435,0,371,399,1396,178,1,854,145,4,89,963,256,51,92
7858,336,5,327,324,1151,112,1,674,103,8,56,791,178,28,68
7859,412,0,283,330,1330,231,1,834,182,4,103,915,314,61,86
7861,391,0,332,331,1176,207,1,776,166,8,71,881,300,44,78
7862,400,1,315,357,1222,211,1,815,179,0,103,923,322,52,98
7863,406,3,368,356,1257,191,1,819,156,8,79,939,294,51,107
7864,351,1,295,299,1150,151,1,703,124,0,68,815,251,38,84
7865,360,8,335,321,1203,175,1,754,152,0,80,853,252,50,80
7866,341,2,250,280,1212,227,1,746,160,0,53,831,274,59,126
7867,411,7,330,362,1176,217,1,822,201,12,92,946,312,59,109
7868,357,4,279,332,1135,232,1,764,191,4,76,901,302,42,102
7869,403,1,346,363,1074,231,1,789,171,4,102,874,314,54,93
7871,389,1,294,347,1177,262,1,804,161,0,93,909,327,68,97
7872,399,2,312,355,1167,221,1,819,191,12,116,902,324,64,113
7873,417,4,327,334,1220,203,1,788,144,4,83,874,293,47,76
7874,210,4,196,175,562,105,1,408,101,0,43,482,148,31,57
7875,241,1,270,226,816,103,1,525,106,12,40,628,160,39,86
7901,410,11,436,393,1803,123,1,952,169,16,80,1286,213,48,106
7902,375,7,425,371,1492,114,1,842,158,0,75,1064,184,54,113
7903,278,1,311,276,1139,116,1,652,105,16,59,929,157,49,101
7904,326,1,331,315,1153,122,1,694,148,4,57,926,181,43,95
7905,354,0,327,352,1126,146,1,718,125,8,79,851,223,41,91
7906,316,0,314,286,1196,108,1,653,80,4,48,854,145,33,82
7907,399,3,393,364,1469,173,1,834,126,0,76,991,199,40,94
7908,377,2,435,379,1557,141,1,872,159,12,71,1008,206,51,98
7909,296,0,315,294,1077,117,1,644,126,8,69,787,164,31,79
7911,344,4,374,327,1245,132,1,734,113,4,62,907,194,36,101
7912,397,2,417,405,1592,148,1,874,110,8,67,1090,209,39,102
7913,380,0,411,394,1357,124,1,800,116,4,82,964,182,49,101
7914,382,4,433,369,1192,124,1,752,123,28,61,895,184,28,80
7915,342,3,394,330,1164,123,1,716,140,12,61,892,173,37,85
7916,408,1,396,383,1201,151,1,768,118,4,77,953,210,37,86
7917,410,2,459,416,1478,125,1,868,142,16,61,1073,202,51,110
7918,345,4,372,342,1136,125,1,697,105,8,46,860,198,24,83
7919,390,1,459,371,1238,135,1,767,130,12,46,928,174,23,89
7921,293,0,360,294,1202,119,1,694,138,20,56,970,174,38,82
7922,366,4,369,384,1129,121,1,705,118,0,49,884,171,29,80
7923,366,0,389,340,1090,121,1,689,111,4,37,930,178,30,90
7924,325,6,386,321,1139,117,1,696,132,4,52,883,158,46,98
7925,235,2,249,236,805,82,1,483,71,8,36,591,127,27,54
7926,382,2,348,354,1084,119,1,695,112,0,61,820,218,32,68
7927,381,1,343,368,1034,141,1,688,113,4,46,782,234,23,64
7928,479,1,427,451,1230,161,1,849,159,8,72,976,282,37,89
7929,450,4,380,403,1018,187,1,780,163,4,91,871,285,40,95
7931,380,3,339,364,897,153,1,687,156,4,64,765,269,40,79
7932,270,0,237,246,643,109,1,482,109,0,43,557,177,27,67
7933,0,0,2,1,15,2,1,7,3,0,1,8,1,1,2
7934,439,1,422,412,1094,120,1,772,141,8,71,888,265,30,85
7935,520,1,420,483,1085,214,1,851,158,0,57,949,351,34,81
7936,445,1,418,446,968,143,1,764,144,4,75,876,317,34,61
7937,440,2,402,410,1120,144,1,780,144,8,59,909,291,24,76
7938,311,1,376,326,965,118,1,636,109,16,39,808,180,31,72
7939,335,1,277,326,850,120,1,593,109,8,47,674,211,25,63
7941,317,1,318,313,1014,131,1,655,117,4,50,790,246,30,79
7942,349,1,376,345,1218,145,1,769,151,0,70,950,245,51,125
7943,352,5,344,302,1273,179,1,780,191,0,82,938,209,52,131
7944,358,1,378,352,1011,134,1,692,122,0,59,830,240,39,74
7945,293,2,320,309,1076,123,1,663,142,20,41,926,219,25,82
7946,289,2,331,261,1089,200,1,716,200,4,78,976,229,52,129
7947,231,2,305,239,1311,156,1,717,187,4,67,964,190,49,127
7948,268,6,347,271,1174,167,1,721,182,16,60,933,201,53,139
7949,157,0,181,138,767,98,1,433,106,4,54,594,111,27,89
7951,249,3,259,203,1111,163,1,645,167,12,66,841,181,40,126
7952,226,7,316,234,1099,134,1,651,174,4,73,865,165,41,131
7953,270,5,279,244,1103,175,1,677,193,8,74,853,171,60,126
7954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7955,252,2,295,214,1100,170,1,684,186,16,88,899,204,50,159
7956,205,1,238,169,1001,145,1,579,163,8,57,779,161,42,126
7957,197,2,250,190,850,110,1,524,141,0,51,664,156,40,109
7958,78,1,95,63,372,48,1,199,33,0,15,291,47,14,30
9001,68,1,87,74,270,50,1,197,58,4,30,269,72,25,49
9101,251,0,264,220,1357,173,1,740,178,16,90,899,208,50,153
9102,311,4,296,290,1414,188,1,817,186,8,101,989,241,53,176
9103,299,4,246,236,1395,191,1,786,185,12,106,971,244,53,173
9104,291,0,304,303,1344,174,1,795,167,8,126,1004,246,51,166
9105,338,5,284,276,1413,209,1,817,174,8,95,975,259,53,154
9106,320,2,295,273,1369,228,1,819,202,8,96,938,280,56,147
