precinctid,under_vote,writein,precincts,gwyneth_borden,bevan_dufty,ballots_cast,over_vote,michael_petrelis,registration
7939,122,1,1,130,320,593,2,18,674
7941,136,2,1,170,315,655,1,31,790
7942,165,4,1,190,350,769,1,59,950
7943,168,1,1,173,389,780,2,47,938
7944,118,2,1,153,381,692,3,35,830
7945,123,2,1,198,286,663,2,52,926
7946,171,3,1,223,267,716,0,52,976
7947,175,4,1,202,261,717,3,72,964
7948,178,4,1,183,316,721,4,36,933
7949,105,0,1,129,168,433,1,30,594
7951,181,3,1,174,235,645,1,51,841
7952,143,7,1,179,254,651,1,67,865
7953,155,3,1,202,280,677,0,37,853
7955,164,8,1,187,262,684,0,63,899
7956,146,1,1,159,203,579,1,69,779
7957,118,1,1,144,235,524,2,24,664
9254,295,3,1,245,299,871,5,24,951
9256,112,0,1,89,127,342,1,13,403
9257,87,0,1,74,120,287,2,4,339
9409,152,2,1,119,229,524,0,22,626
9501,42,0,1,35,50,131,0,4,153
9503,221,0,1,167,248,674,2,36,822
9505,159,2,1,156,250,617,5,45,804
9506,129,2,1,161,257,602,2,51,810
9507,153,2,1,161,295,638,1,26,783
9508,194,1,1,172,315,720,1,37,862
9509,186,2,1,189,265,661,2,17,758
9511,131,4,1,115,253,529,1,25,630
9512,169,5,1,162,336,709,1,36,848
9513,187,7,1,183,340,766,4,45,952
9514,244,2,1,217,339,832,1,29,959
9515,176,1,1,161,275,646,0,33,748
9516,224,1,1,193,313,763,0,32,922
9517,214,3,1,150,312,713,1,33,854
9518,179,0,1,186,322,707,1,19,826
9519,242,1,1,204,322,790,0,21,922
9521,227,3,1,203,368,827,1,25,947
9701,183,3,1,122,247,571,0,16,664
9702,190,3,1,150,277,640,0,20,760
9706,17,0,1,11,26,54,0,0,54
9754,133,3,1,166,311,648,1,34,744
9755,112,0,1,107,240,492,0,33,605
9801,71,2,1,101,151,339,0,14,434
9901,0,0,1,0,0,0,0,0,0
9902,0,0,1,0,0,0,0,0,0
