precinctid,under_vote,precincts,kamala_d_harris,ballots_cast,over_vote,registration,loretta_l_sanchez
9252,103,1,553,837,0,943,181
9253,109,1,463,709,1,808,136
9254,98,1,646,871,1,951,126
9255,80,1,349,518,0,577,89
9256,46,1,237,342,2,403,57
9257,30,1,203,287,1,339,53
9258,83,1,441,645,0,715,121
9401,95,1,552,815,0,1014,168
9402,112,1,512,816,0,1028,192
9403,85,1,498,739,1,933,155
9404,93,1,505,744,0,921,146
9405,96,1,444,699,0,818,159
9406,97,1,551,791,3,916,140
9407,113,1,461,728,1,941,153
9408,89,1,480,704,1,879,134
9409,61,1,373,524,0,626,90
9411,115,1,560,840,1,1051,164
9412,83,1,450,703,2,885,168
9413,111,1,478,742,1,907,152
9414,108,1,464,740,1,894,167
9415,109,1,396,637,0,798,132
9416,92,1,544,806,0,1018,170
9417,88,1,346,604,1,759,169
9418,104,1,403,642,1,814,134
9419,129,1,443,708,0,902,136
9421,129,1,456,732,0,929,147
9422,134,1,589,887,1,1082,163
9423,93,1,493,718,0,909,132
9424,120,1,479,756,1,951,156
9425,117,1,450,748,0,964,181
9426,109,1,401,663,0,835,153
9427,126,1,416,733,1,963,190
9428,110,1,474,754,0,963,170
9429,119,1,418,707,1,909,169
9431,132,1,487,821,4,1024,198
9432,120,1,456,718,1,913,141
9433,117,1,470,759,2,973,170
9434,93,1,538,803,0,997,172
9435,118,1,468,765,1,969,178
9436,126,1,473,783,0,994,184
9437,106,1,416,713,0,954,191
9438,127,1,483,791,0,1000,181
9439,92,1,432,690,1,903,165
9441,104,1,520,800,1,1004,175
9442,134,1,491,809,3,1027,181
9443,110,1,473,748,0,937,165
9444,127,1,420,720,1,955,172
9445,103,1,461,751,1,993,186
9446,133,1,554,912,0,1084,225
9447,108,1,492,761,0,954,161
9448,102,1,438,728,1,950,187
9449,98,1,400,639,0,820,141
9451,41,1,210,370,0,438,119
9452,94,1,458,701,2,829,147
9453,55,1,248,415,0,502,112
9501,16,1,89,131,0,153,26
9502,23,1,153,209,0,233,33
9503,88,1,481,674,1,822,104
9505,52,1,474,617,7,804,84
9506,53,1,449,602,1,810,99
9507,46,1,505,638,0,783,87
9508,63,1,581,720,0,862,76
9509,69,1,498,661,1,758,93
9511,60,1,397,529,3,630,69
9512,69,1,530,709,1,848,109
9513,51,1,615,766,1,952,99
9514,85,1,632,832,0,959,115
9515,73,1,474,646,1,748,98
9516,93,1,534,763,0,922,136
9517,71,1,525,713,1,854,116
9518,71,1,524,707,0,826,112
9519,78,1,595,790,0,922,117
9521,93,1,613,827,0,947,121
9701,82,1,385,571,0,664,104
9702,74,1,481,640,1,760,84
9703,100,1,541,818,0,989,177
9704,75,1,620,836,0,971,141
9705,92,1,615,836,0,954,129
9706,7,1,39,54,0,54,8
9707,70,1,475,679,2,805,132
9708,93,1,594,829,0,956,142
9709,110,1,553,848,8,1029,177
9711,46,1,413,572,0,643,113
9712,75,1,396,593,1,656,121
9713,89,1,535,782,0,974,158
9714,105,1,572,825,0,941,148
9715,56,1,372,521,0,580,93
9716,111,1,499,791,0,975,181
9717,89,1,555,837,0,993,193
9718,65,1,511,755,0,859,179
9719,79,1,522,755,0,880,154
9721,64,1,378,575,0,657,133
9722,68,1,345,543,0,634,130
9723,57,1,241,396,0,478,98
9724,117,1,496,824,1,978,210
9725,118,1,474,783,1,985,190
9726,84,1,344,606,0,782,178
9727,43,1,261,396,1,454,91
9728,106,1,513,805,1,937,185
9729,78,1,486,708,1,802,143
9731,54,1,324,485,1,548,106
9732,3,1,50,71,0,76,18
9733,17,1,156,204,0,221,31
9734,52,1,366,535,0,603,117
9735,82,1,476,699,1,807,140
9736,56,1,468,651,1,729,126
9737,55,1,542,715,0,782,118
9738,87,1,421,680,0,850,172
9739,101,1,384,681,2,912,194
9741,115,1,288,679,0,1064,276
9742,78,1,339,530,0,669,113
9743,102,1,581,907,1,1159,223
9744,107,1,439,763,0,968,217
9745,86,1,453,762,0,1052,223
9746,106,1,516,783,1,903,160
9747,85,1,534,797,1,989,177
9748,101,1,542,809,0,981,166
9749,92,1,414,686,0,969,180
9751,100,1,611,908,1,1011,196
9752,55,1,432,626,1,721,138
9753,61,1,419,636,1,777,155
9754,58,1,481,648,0,744,109
9755,59,1,315,492,1,605,117
9756,114,1,467,784,1,980,202
9801,28,1,220,339,1,434,90
9900,0,1,0,0,0,0,0
9901,0,1,0,0,0,0,0
9902,0,1,0,0,0,0,0
