precinctid,no,under_vote,precincts,ballots_cast,over_vote,registration,yes
1101,149,30,1,446,1,586,261
1102,250,59,1,810,0,996,498
1103,224,40,1,781,0,971,512
1104,227,51,1,763,1,991,486
1106,209,42,1,600,0,808,342
1107,164,38,1,506,0,781,299
1108,214,57,1,744,0,951,467
1109,174,44,1,617,1,809,393
1111,199,53,1,717,0,1031,456
1112,162,46,1,557,0,765,342
1113,203,34,1,547,0,713,303
1114,215,61,1,741,2,971,460
1115,217,65,1,746,0,910,457
1116,175,51,1,636,0,913,407
1117,174,38,1,644,1,886,424
1118,226,39,1,776,0,1031,503
1119,141,45,1,587,1,783,396
1121,184,27,1,525,0,691,313
1122,175,38,1,482,0,658,267
1123,159,54,1,646,0,954,431
1124,144,41,1,556,0,831,364
1125,211,57,1,745,1,1029,474
1126,180,43,1,701,1,954,469
1127,246,36,1,685,1,911,401
1128,211,59,1,686,1,907,410
1129,216,62,1,703,1,951,420
1131,195,42,1,574,0,853,333
1132,213,52,1,721,0,982,448
1133,213,43,1,661,0,870,397
1134,195,37,1,593,0,793,360
1135,144,25,1,421,0,521,249
1136,212,47,1,669,1,857,406
1141,240,43,1,812,1,1047,526
1142,181,43,1,667,1,858,429
1143,197,57,1,801,0,1056,540
1144,216,56,1,713,1,928,440
1145,226,51,1,753,1,931,467
1146,230,53,1,791,0,1036,504
1147,230,48,1,734,0,927,450
1148,260,54,1,727,0,992,408
1149,258,51,1,747,0,950,434
1151,0,0,1,0,0,0,0
1152,217,44,1,671,0,898,407
1153,235,48,1,749,0,961,458
1154,0,0,1,0,0,0,0
7001,159,45,1,559,1,742,352
7002,335,80,1,997,1,1225,578
7003,265,54,1,834,1,927,512
7004,243,43,1,808,0,896,513
7005,214,67,1,755,0,853,469
7006,243,61,1,799,0,966,492
7007,253,54,1,870,2,987,551
7008,259,43,1,820,2,882,506
7009,224,55,1,750,0,931,469
7011,144,46,1,621,0,1063,427
7012,276,66,1,925,2,1034,572
7013,225,51,1,640,1,733,360
7014,326,76,1,928,0,1073,521
7015,26,5,1,81,0,113,50
7016,136,49,1,593,0,977,408
7017,66,31,1,469,0,786,373
7018,198,51,1,672,0,992,420
7019,175,45,1,696,1,945,471
7021,127,47,1,631,1,993,449
7022,140,45,1,667,1,1032,470
7023,134,34,1,671,1,938,493
7024,11,5,1,119,0,309,102
7025,50,22,1,266,0,505,192
7026,235,40,1,700,0,1022,413
7027,138,44,1,577,0,879,389
