precinctid,amy_bacharach,writein,under_vote,tom_temprano,precincts,shanell_williams,ballots_cast,alex_randolph,over_vote,registration,rafael_mandelman
7533,245,10,1857,379,1,457,910,286,0,1025,406
7534,228,2,1527,311,1,405,775,248,0,967,379
7535,198,4,1405,288,1,366,711,247,0,807,336
7536,193,2,1652,272,1,376,775,247,4,895,354
7537,199,0,1310,268,1,333,664,211,0,783,335
7538,210,2,1457,316,1,364,736,243,0,831,352
7539,185,0,1671,371,1,429,821,231,0,978,397
7541,182,6,1523,284,1,358,728,221,0,865,338
7542,202,10,1399,364,1,415,756,248,0,906,386
7543,237,2,1556,327,1,434,806,276,0,993,392
7544,267,8,1659,324,1,385,821,263,0,962,378
7545,243,2,1667,323,1,420,833,295,0,970,382
7546,247,1,1539,340,1,435,817,288,4,935,414
7547,216,8,1738,325,1,418,837,250,0,1057,393
7548,294,6,1757,313,1,446,894,326,0,1135,434
7549,232,5,1496,271,1,334,734,264,0,854,334
7551,209,1,1347,233,1,334,669,228,4,762,320
7552,206,0,1327,260,1,343,678,253,0,756,323
7553,62,1,321,54,1,84,168,80,0,187,70
7554,258,1,1510,273,1,361,769,312,0,859,361
7555,275,2,1656,314,1,409,846,316,0,893,412
7556,319,4,1690,311,1,444,906,378,4,1008,474
7601,176,7,1213,207,1,293,588,214,4,929,238
7602,197,1,1365,291,1,343,689,247,12,962,300
7603,225,1,1310,284,1,374,690,251,0,888,315
7604,216,3,1381,271,1,322,677,246,4,989,265
7605,121,1,937,142,1,210,428,148,0,771,153
7606,184,5,1351,254,1,304,640,206,8,992,248
7607,215,6,1419,274,1,369,710,267,0,1055,290
7608,75,2,507,72,1,117,244,102,4,456,97
7609,193,1,1134,144,1,285,551,214,12,1051,221
7611,153,2,1039,140,1,226,479,167,4,898,185
7612,130,4,822,149,1,209,418,173,0,668,185
7613,191,10,1242,234,1,325,617,232,4,1015,230
7614,249,11,1628,275,1,405,793,304,0,1177,300
7615,184,4,1109,168,1,262,528,195,4,1020,186
7616,247,1,1794,256,1,335,807,301,0,981,294
7617,170,0,1044,175,1,261,516,201,12,898,201
7618,204,10,1303,258,1,367,689,272,0,948,342
7619,500,18,3082,490,1,704,1485,556,0,1971,590
7621,250,5,1687,256,1,387,800,317,0,1082,298
7622,178,2,1095,179,1,258,534,200,24,1007,200
7623,129,0,926,176,1,242,467,184,8,839,203
7624,189,4,1098,197,1,288,565,241,12,1074,231
7625,211,0,1220,172,1,309,617,263,4,896,289
7626,350,5,2097,363,1,445,1011,408,0,1177,376
7627,459,1,3064,347,1,491,1326,492,0,1586,450
7628,211,6,1472,263,1,352,720,258,0,1006,318
7629,164,1,1243,202,1,266,577,198,4,837,230
7631,311,7,1878,301,1,417,915,369,4,1143,373
7632,166,8,1008,215,1,261,532,216,4,727,250
7633,193,2,1147,193,1,280,574,241,0,731,240
7634,255,1,1448,212,1,343,706,281,0,1017,284
7635,195,1,1446,195,1,283,643,227,0,868,225
7636,232,3,1898,201,1,299,784,250,0,993,253
7637,356,3,2587,346,1,479,1151,414,8,1361,411
7638,413,1,2547,346,1,407,1135,432,0,1285,394
7639,288,1,2013,258,1,346,891,344,0,1011,314
7641,278,5,1629,255,1,332,795,334,8,977,339
7642,251,5,2059,182,1,280,810,232,4,967,227
7643,262,9,1546,243,1,349,758,308,0,959,315
7644,285,0,2122,269,1,363,925,330,4,1111,327
7645,195,1,1372,161,1,215,587,195,0,669,209
7646,655,9,4204,498,1,776,1893,724,0,2163,706
7647,202,0,1221,210,1,321,598,227,0,1028,211
7648,1,0,8,1,1,1,3,1,0,4,0
7701,306,4,1912,308,1,402,914,347,0,1049,377
7702,265,0,1357,186,1,286,663,285,0,775,273
7703,34,0,244,16,1,36,100,37,4,178,29
7704,327,6,1865,272,1,350,881,352,4,1006,348
7705,193,2,962,167,1,216,495,219,4,554,217
7706,283,10,1585,246,1,346,773,296,0,853,326
7707,303,1,1512,254,1,343,784,360,0,854,363
7708,285,2,1473,290,1,368,783,348,0,894,366
7709,115,0,617,164,1,194,354,147,4,390,175
7711,243,2,1346,236,1,318,685,272,0,789,323
7712,144,2,976,203,1,268,518,209,0,577,270
7801,344,3,1773,297,1,479,964,439,0,975,521
7802,241,0,1359,277,1,344,723,297,4,760,370
7803,242,0,1522,238,1,374,774,324,0,827,396
7804,283,3,1706,303,1,384,876,374,0,932,451
7805,255,0,1396,298,1,360,761,309,0,852,426
7806,203,0,1220,260,1,347,663,265,0,746,357
7807,190,2,1253,285,1,350,671,234,0,774,370
7808,152,3,1107,247,1,285,578,215,0,702,303
7809,343,4,2060,404,1,558,1091,443,4,1234,548
7811,180,2,1343,308,1,357,696,235,0,806,359
7812,224,4,1415,298,1,379,752,288,4,892,396
7813,238,7,1822,400,1,483,943,329,4,1061,489
7814,159,0,1405,265,1,338,667,218,8,919,275
7815,275,2,1583,327,1,440,879,401,0,967,488
7816,288,3,1430,310,1,398,823,393,0,896,470
7817,206,1,1266,305,1,369,711,282,0,804,415
7818,235,0,1460,321,1,411,787,309,0,889,412
7819,195,4,1347,267,1,356,682,219,4,809,336
7821,305,4,1675,349,1,444,916,396,0,998,491
7822,247,2,1391,297,1,379,776,347,0,951,441
7823,227,1,1372,373,1,440,806,339,0,928,472
7824,185,0,1317,262,1,303,665,252,4,794,337
7825,163,3,902,226,1,278,521,217,0,578,295
7826,178,0,1119,275,1,355,633,239,0,709,366
7827,188,6,1486,362,1,392,758,219,0,931,379
7828,277,0,1806,338,1,428,924,398,0,1053,449
7829,317,5,1447,319,1,420,841,389,0,904,467
7831,275,2,1359,315,1,415,803,381,0,906,465
7832,239,2,1451,283,1,363,759,302,0,824,396
7833,202,1,1384,288,1,360,710,237,0,785,368
7834,209,1,1441,352,1,412,775,254,0,901,431
7835,259,7,1452,294,1,379,785,348,0,863,401
7836,289,3,1721,334,1,433,903,392,4,990,436
7837,267,5,1645,273,1,384,840,352,0,934,434
7838,317,0,1456,305,1,430,839,376,4,933,468
7839,246,8,1555,258,1,369,785,295,4,869,405
7841,249,0,1631,312,1,418,839,311,0,947,435
7842,274,3,1542,399,1,453,864,321,0,960,464
7843,192,1,1182,308,1,380,679,260,4,802,389
7844,161,1,1116,277,1,318,594,191,0,682,312
7845,234,1,1456,295,1,397,783,333,4,869,412
7846,274,1,1526,291,1,393,814,356,0,925,415
7847,265,1,1585,318,1,406,843,353,4,960,440
7848,286,5,1474,315,1,403,818,350,0,905,439
7849,299,2,1529,358,1,452,864,344,0,967,472
7851,188,0,905,129,1,208,472,211,0,528,247
7852,246,0,1042,186,1,288,584,272,0,644,302
7853,283,2,1398,278,1,375,770,366,4,896,374
7854,275,1,1626,275,1,392,825,336,0,933,395
7855,280,3,1617,336,1,427,870,349,0,968,468
7856,245,2,1408,318,1,396,769,291,0,849,416
7857,229,1,1620,387,1,444,854,293,0,963,442
7858,171,5,1297,319,1,356,674,206,4,791,338
7859,298,2,1584,285,1,381,834,344,0,915,442
7861,266,0,1439,300,1,375,776,312,0,881,412
7862,276,0,1529,309,1,400,815,323,0,923,423
7863,259,3,1507,342,1,412,819,321,0,939,432
7864,211,0,1322,291,1,348,703,267,0,815,373
7865,235,3,1461,301,1,368,754,274,0,853,374
7866,278,2,1456,231,1,341,746,320,0,831,356
7867,279,8,1477,316,1,440,822,351,0,946,417
7868,290,2,1340,278,1,389,764,365,0,901,392
7869,267,3,1347,346,1,421,789,333,0,874,439
7871,290,1,1436,292,1,416,804,357,4,909,420
7872,292,1,1471,299,1,408,819,354,0,902,451
7873,246,5,1431,311,1,406,788,325,0,874,428
7874,152,5,699,169,1,203,408,190,0,482,214
7875,178,0,930,226,1,287,525,211,8,628,260
7901,230,10,2003,389,1,449,952,284,8,1286,435
7902,230,7,1732,362,1,405,842,248,4,1064,380
7903,191,0,1260,260,1,331,652,231,0,929,335
7904,201,1,1330,305,1,355,694,242,0,926,342
7905,220,1,1284,324,1,411,718,249,4,851,379
7906,152,2,1297,294,1,333,653,202,0,854,332
7907,211,3,1675,352,1,414,834,279,0,991,402
7908,206,3,1808,386,1,417,872,265,4,1008,399
7909,176,1,1232,273,1,337,644,209,0,787,348
7911,218,1,1404,317,1,377,734,250,0,907,369
7912,206,2,1780,385,1,443,874,245,0,1090,435
7913,203,4,1572,361,1,400,800,268,0,964,392
7914,191,2,1404,336,1,408,752,267,0,895,400
7915,194,5,1322,339,1,395,716,235,0,892,374
7916,204,2,1353,372,1,438,768,264,0,953,439
7917,217,4,1721,410,1,432,868,264,8,1073,416
7918,167,5,1345,323,1,345,697,236,0,860,367
7919,191,6,1417,382,1,416,767,229,4,928,423
7921,206,0,1364,315,1,341,694,242,4,970,304
7922,193,4,1300,322,1,384,705,239,0,884,378
7923,179,0,1271,352,1,377,689,209,0,930,368
7924,184,5,1299,333,1,375,696,231,0,883,357
7925,129,3,890,218,1,266,483,169,0,591,257
7926,189,4,1215,330,1,401,695,254,4,820,383
7927,180,1,1241,325,1,370,688,248,4,782,383
7928,261,3,1452,405,1,490,849,317,0,976,468
7929,245,2,1254,383,1,458,780,317,0,871,461
7931,204,1,1141,315,1,400,687,294,8,765,385
7932,162,0,829,211,1,279,482,197,0,557,250
7933,2,0,16,2,1,3,7,3,0,8,2
7934,209,3,1296,407,1,435,772,287,0,888,451
7935,258,2,1345,427,1,516,851,345,0,949,511
7936,216,3,1220,372,1,454,764,338,0,876,453
7937,216,2,1308,370,1,447,780,318,4,909,455
7938,150,1,1167,317,1,365,636,204,12,808,328
7939,150,0,1040,289,1,334,593,229,0,674,330
7941,208,1,1227,273,1,343,655,235,0,790,333
7942,225,5,1465,309,1,398,769,294,4,950,376
7943,255,4,1462,320,1,371,780,315,0,938,393
7944,185,2,1186,333,1,406,692,262,0,830,394
