precinctid,amy_bacharach,writein,under_vote,tom_temprano,precincts,shanell_williams,ballots_cast,alex_randolph,over_vote,registration,rafael_mandelman
9731,191,4,1017,155,1,189,485,198,0,548,186
9732,21,4,177,16,1,22,71,24,0,76,20
9733,91,1,373,62,1,97,204,93,0,221,99
9734,224,5,1015,191,1,218,535,257,0,603,230
9735,284,7,1402,213,1,275,699,307,0,807,308
9736,244,2,1264,204,1,303,651,281,0,729,306
9737,248,4,1400,244,1,335,715,299,4,782,326
9738,245,10,1427,200,1,302,680,279,4,850,253
9739,235,5,1408,238,1,314,681,276,4,912,244
9741,223,5,1705,161,1,257,679,236,0,1064,129
9742,205,2,1164,153,1,191,530,216,0,669,189
9743,334,2,1905,278,1,404,907,373,0,1159,332
9744,263,3,1623,245,1,343,763,302,4,968,269
9745,260,1,1583,257,1,345,762,307,4,1052,291
9746,293,11,1629,258,1,330,783,321,0,903,290
9747,268,6,1588,278,1,380,797,330,0,989,338
9748,301,4,1646,282,1,353,809,343,0,981,307
9749,245,2,1425,235,1,332,686,253,0,969,252
9751,355,8,1815,288,1,400,908,378,4,1011,384
9752,236,1,1170,240,1,306,626,265,0,721,286
9753,234,8,1214,258,1,315,636,239,0,777,276
9754,211,2,1230,235,1,328,648,278,0,744,308
9755,166,1,954,198,1,242,492,192,4,605,211
9756,274,4,1693,224,1,344,784,315,0,980,282
9801,113,5,659,126,1,163,339,142,4,434,144
9900,0,0,0,0,1,0,0,0,0,0,0
9901,0,0,0,0,1,0,0,0,0,0,0
9902,0,0,0,0,1,0,0,0,0,0,0
