precinctid,jane_kim,under_vote,precincts,ballots_cast,over_vote,registration,scott_wiener
9506,281,50,1,602,0,810,271
9507,319,38,1,638,0,783,281
9508,381,57,1,720,0,862,282
9509,325,63,1,661,1,758,272
9511,285,48,1,529,0,630,196
9512,381,59,1,709,0,848,269
9513,394,57,1,766,1,952,314
9514,434,74,1,832,0,959,324
9515,297,70,1,646,0,748,279
9516,353,92,1,763,0,922,318
9517,387,55,1,713,0,854,271
9518,356,64,1,707,0,826,287
9519,406,67,1,790,1,922,316
9521,426,75,1,827,0,947,326
9701,277,68,1,571,0,664,226
9702,285,72,1,640,0,760,283
9703,352,89,1,818,0,989,377
9704,363,77,1,836,0,971,396
9705,386,80,1,836,0,954,370
9706,22,9,1,54,0,54,23
9707,255,70,1,679,1,805,353
9708,380,90,1,829,0,956,359
9709,326,95,1,848,3,1029,424
9711,204,70,1,572,0,643,298
9712,175,63,1,593,0,656,355
9713,298,76,1,782,0,974,408
9714,253,96,1,825,0,941,476
9715,144,56,1,521,0,580,321
9716,279,95,1,791,0,975,417
9717,314,88,1,837,0,993,435
9718,253,76,1,755,0,859,426
9719,228,74,1,755,2,880,451
9721,167,49,1,575,0,657,359
9722,182,68,1,543,0,634,293
9723,132,57,1,396,0,478,207
9724,284,110,1,824,0,978,430
9725,261,116,1,783,1,985,405
9726,303,84,1,606,2,782,217
9727,124,46,1,396,1,454,225
9728,256,98,1,805,0,937,451
9729,175,78,1,708,2,802,453
9731,124,62,1,485,1,548,298
9732,19,6,1,71,0,76,46
9733,73,13,1,204,0,221,118
9734,127,62,1,535,0,603,346
9735,192,90,1,699,0,807,417
9736,235,57,1,651,0,729,359
9737,284,63,1,715,0,782,368
9738,308,91,1,680,1,850,280
9739,356,86,1,681,1,912,238
9741,383,104,1,679,0,1064,192
9742,193,66,1,530,0,669,271
9743,455,99,1,907,0,1159,353
9744,387,98,1,763,1,968,277
9745,417,68,1,762,1,1052,276
9746,279,103,1,783,0,903,401
9747,352,92,1,797,1,989,352
9748,334,88,1,809,0,981,387
9749,351,72,1,686,0,969,263
9751,332,101,1,908,1,1011,474
9752,239,55,1,626,1,721,331
9753,296,47,1,636,1,777,292
9754,321,46,1,648,0,744,281
9755,209,48,1,492,0,605,235
9756,333,110,1,784,1,980,340
9801,139,36,1,339,1,434,163
9900,0,0,1,0,0,0,0
9901,0,0,1,0,0,0,0
9902,0,0,1,0,0,0,0
